State,County,All,Yes,No
Colorado,Conejos County,26,13.0,13.0
Colorado,Costilla County,17,13.0,4.0
Colorado,Crowley County,7,6.0,1.0
Colorado,Custer County,3,1.0,2.0
Colorado,Delta County,140,84.0,56.0
Colorado,Denver County,7230,4304.0,2926.0
Colorado,Douglas County,1233,947.0,286.0
Colorado,Eagle County,963,563.0,400.0
Colorado,El Paso County,6508,3073.0,3435.0
Colorado,Elbert County,155,135.0,20.0
Colorado,Fremont County,1213,688.0,525.0
Colorado,Garfield County,4253,2420.0,1833.0
Colorado,Gilpin County,278,234.0,44.0
Colorado,Grand County,167,94.0,73.0
Colorado,Gunnison County,203,165.0,38.0
Colorado,Huerfano County,26,17.0,9.0
Colorado,Jackson County,3,2.0,1.0
Colorado,Jefferson County,2394,1665.0,729.0
Colorado,Kiowa County,1,,1.0
Colorado,Kit Carson County,65,53.0,12.0
Colorado,La Plata County,333,213.0,120.0
Colorado,Lake County,382,262.0,120.0
Colorado,Larimer County,1088,794.0,294.0
Colorado,Las Animas County,103,61.0,42.0
Colorado,Lincoln County,79,44.0,35.0
Colorado,Logan County,96,55.0,41.0
Colorado,Mesa County,757,531.0,226.0
Colorado,Moffat County,160,109.0,51.0
Colorado,Montezuma County,146,105.0,41.0
Colorado,Montrose County,743,481.0,262.0
Colorado,Morgan County,384,198.0,186.0
Colorado,Otero County,117,66.0,51.0
Colorado,Park County,44,28.0,16.0
Colorado,Pitkin County,98,65.0,33.0
Colorado,Prowers County,147,93.0,54.0
Colorado,Pueblo County,638,274.0,364.0
Colorado,Rio Blanco County,176,138.0,38.0
Colorado,Rio Grande County,102,68.0,34.0
Colorado,Routt County,191,116.0,75.0
Colorado,Saguache County,89,70.0,19.0
Colorado,San Miguel County,132,93.0,39.0
Colorado,Sedgwick County,14,8.0,6.0
Colorado,Summit County,514,336.0,178.0
Colorado,Teller County,58,26.0,32.0
Colorado,Washington County,119,82.0,37.0
Colorado,Weld County,1938,992.0,946.0
Colorado,Yuma County,207,98.0,109.0
Connecticut,All,6718,4061.0,2657.0
Connecticut,Fairfield County,3762,2035.0,1727.0
Connecticut,Hartford County,1585,1097.0,488.0
Connecticut,New Haven County,524,308.0,216.0
Connecticut,New London County,394,272.0,122.0
Connecticut,Tolland County,358,280.0,78.0
Connecticut,Windham County,95,69.0,26.0
Delaware,All,2450,1738.0,712.0
Delaware,Kent County,211,126.0,85.0
Delaware,New Castle County,881,702.0,179.0
Delaware,Sussex County,1358,910.0,448.0
District of Columbia,All,983,429.0,554.0
District of Columbia,District of Columbia,983,429.0,554.0
Florida,Alachua County,537,305.0,232.0
Florida,All,89081,51276.0,37805.0
Florida,Baker County,85,45.0,40.0
Florida,Bay County,358,218.0,140.0
Florida,Bradford County,50,27.0,23.0
Florida,Brevard County,819,512.0,307.0
Florida,Broward County,5332,3245.0,2087.0
Florida,Calhoun County,52,28.0,24.0
Florida,Charlotte County,320,132.0,188.0
Florida,Citrus County,42,22.0,20.0
Florida,Clay County,430,263.0,167.0
Florida,Collier County,6356,5259.0,1097.0
Florida,Columbia County,116,58.0,58.0
Florida,DeSoto County,533,309.0,224.0
Florida,Dixie County,25,20.0,5.0
Florida,Duval County,2511,1920.0,591.0
Florida,Escambia County,415,214.0,201.0
Florida,Flagler County,141,92.0,49.0
Florida,Franklin County,10,9.0,1.0
Florida,Gadsden County,144,101.0,43.0
Florida,Gilchrist County,54,33.0,21.0
Florida,Glades County,93,51.0,42.0
Florida,Gulf County,31,11.0,20.0
Florida,Hamilton County,108,59.0,49.0
Florida,Hardee County,353,228.0,125.0
Florida,Hendry County,642,402.0,240.0
Florida,Hernando County,203,99.0,104.0
Florida,Highlands County,483,372.0,111.0
Florida,Hillsborough County,5162,2766.0,2396.0
Florida,Holmes County,21,9.0,12.0
Florida,Indian River County,727,510.0,217.0
Florida,Jackson County,344,187.0,157.0
Florida,Jefferson County,9,4.0,5.0
Florida,Lafayette County,34,16.0,18.0
Florida,Lake County,623,362.0,261.0
Florida,Lee County,2625,1626.0,999.0
Florida,Leon County,8886,4604.0,4282.0
Florida,Levy County,189,115.0,74.0
Florida,Liberty County,17,11.0,6.0
Florida,Madison County,36,18.0,18.0
Florida,Manatee County,1478,801.0,677.0
Florida,Marion County,2119,1110.0,1009.0
Florida,Martin County,1427,1033.0,394.0
Florida,Miami-Dade County,17377,9222.0,8155.0
Florida,Monroe County,378,159.0,219.0
Florida,Nassau County,311,165.0,146.0
Florida,Okaloosa County,1050,483.0,567.0
Florida,Okeechobee County,429,297.0,132.0
Florida,Orange County,5536,2810.0,2726.0
Florida,Osceola County,1085,473.0,612.0
Florida,Palm Beach County,5781,3921.0,1860.0
Florida,Pasco County,1161,602.0,559.0
Florida,Pinellas County,2123,1200.0,923.0
Florida,Polk County,2081,1250.0,831.0
Florida,Putnam County,121,74.0,47.0
Florida,Santa Rosa County,110,56.0,54.0
Florida,Sarasota County,1308,604.0,704.0
Florida,Seminole County,849,544.0,305.0
Florida,St. Johns County,242,141.0,101.0
Florida,St. Lucie County,980,545.0,435.0
Florida,Sumter County,2240,1031.0,1209.0
Florida,Suwannee County,186,135.0,51.0
Florida,Taylor County,22,7.0,15.0
Florida,Union County,70,21.0,49.0
Florida,Unknown County,989,14.0,975.0
Florida,Volusia County,417,182.0,235.0
Florida,Wakulla County,42,24.0,18.0
Florida,Walton County,262,130.0,132.0
Florida,Washington County,23,15.0,8.0
Georgia,All,75479,43128.0,32351.0
Georgia,Appling County,155,81.0,74.0
Georgia,Atkinson County,154,97.0,57.0
Georgia,Bacon County,34,9.0,25.0
Georgia,Baldwin County,38,16.0,22.0
Georgia,Banks County,51,24.0,27.0
Georgia,Barrow County,179,72.0,107.0
Georgia,Bartow County,535,197.0,338.0
Georgia,Berrien County,33,7.0,26.0
Georgia,Bibb County,430,138.0,292.0
Georgia,Bleckley County,25,6.0,19.0
Georgia,Brantley County,10,4.0,6.0
Georgia,Brooks County,129,76.0,53.0
Georgia,Bryan County,40,21.0,19.0
Georgia,Bulloch County,156,58.0,98.0
Georgia,Burke County,31,18.0,13.0
Georgia,Butts County,228,80.0,148.0
Georgia,Calhoun County,3,1.0,2.0
Georgia,Camden County,48,28.0,20.0
Georgia,Candler County,25,7.0,18.0
Georgia,Carroll County,247,127.0,120.0
Georgia,Catoosa County,60,25.0,35.0
Georgia,Charlton County,3740,2334.0,1406.0
Georgia,Chatham County,681,301.0,380.0
Georgia,Chattahoochee County,19,1.0,18.0
Georgia,Chattooga County,32,10.0,22.0
Georgia,Cherokee County,1129,515.0,614.0
Georgia,Clarke County,490,141.0,349.0
Georgia,Clay County,55,25.0,30.0
Georgia,Clayton County,3321,1411.0,1910.0
Georgia,Clinch County,5,1.0,4.0
Georgia,Cobb County,8254,5451.0,2803.0
Georgia,Coffee County,190,78.0,112.0
Georgia,Colquitt County,309,110.0,199.0
Georgia,Columbia County,158,64.0,94.0
Georgia,Cook County,96,21.0,75.0
Georgia,Coweta County,415,203.0,212.0
Georgia,Crawford County,5,2.0,3.0
Georgia,Crisp County,255,70.0,185.0
Georgia,Dawson County,140,70.0,70.0
Georgia,DeKalb County,6563,2823.0,3740.0
Georgia,Decatur County,34,7.0,27.0
Georgia,Dodge County,43,13.0,30.0
Georgia,Dooly County,94,27.0,67.0
Georgia,Dougherty County,259,111.0,148.0
Georgia,Douglas County,495,233.0,262.0
Georgia,Early County,17,4.0,13.0
Georgia,Echols County,19,14.0,5.0
Georgia,Effingham County,19,5.0,14.0
Georgia,Elbert County,44,24.0,20.0
Georgia,Emanuel County,29,17.0,12.0
Georgia,Evans County,40,22.0,18.0
Georgia,Fannin County,22,8.0,14.0
Georgia,Fayette County,413,181.0,232.0
Georgia,Floyd County,467,197.0,270.0
Georgia,Forsyth County,718,324.0,394.0
Georgia,Fulton County,9291,4231.0,5060.0
Georgia,Glynn County,347,186.0,161.0
Georgia,Gordon County,264,109.0,155.0
Georgia,Grady County,75,5.0,70.0
Georgia,Greene County,45,19.0,26.0
Georgia,Gwinnett County,14659,11763.0,2896.0
Georgia,Habersham County,162,81.0,81.0
Georgia,Hall County,3994,3349.0,645.0
Georgia,Hancock County,1,,1.0
Georgia,Haralson County,20,8.0,12.0
Georgia,Harris County,176,90.0,86.0
Georgia,Hart County,10,3.0,7.0
Georgia,Heard County,8,5.0,3.0
Georgia,Henry County,390,167.0,223.0
Georgia,Houston County,554,162.0,392.0
Georgia,Irwin County,86,65.0,21.0
Georgia,Jackson County,142,69.0,73.0
Georgia,Jasper County,15,4.0,11.0
Georgia,Jeff Davis County,370,205.0,165.0
Georgia,Jefferson County,17,5.0,12.0
Georgia,Jenkins County,2,,2.0
Georgia,Johnson County,3,,3.0
Georgia,Jones County,13,5.0,8.0
Georgia,Lamar County,30,20.0,10.0
Georgia,Lanier County,52,45.0,7.0
Georgia,Laurens County,58,20.0,38.0
Georgia,Lee County,76,29.0,47.0
Georgia,Liberty County,31,10.0,21.0
Georgia,Lincoln County,6,2.0,4.0
Georgia,Long County,21,6.0,15.0
Georgia,Lowndes County,322,37.0,285.0
Georgia,Lumpkin County,46,16.0,30.0
Georgia,Macon County,10,,10.0
Georgia,Madison County,35,11.0,24.0
Georgia,Marion County,17,2.0,15.0
Georgia,McDuffie County,10,5.0,5.0
Georgia,McIntosh County,56,20.0,36.0
Georgia,Meriwether County,7,3.0,4.0
Georgia,Miller County,6,2.0,4.0
Georgia,Mitchell County,20,3.0,17.0
Georgia,Monroe County,42,21.0,21.0
Georgia,Montgomery County,13,2.0,11.0
Georgia,Morgan County,39,17.0,22.0
Georgia,Murray County,67,23.0,44.0
Georgia,Muscogee County,335,37.0,298.0
Georgia,Newton County,185,81.0,104.0
Georgia,Oconee County,37,14.0,23.0
Georgia,Oglethorpe County,8,4.0,4.0
Georgia,Paulding County,101,44.0,57.0
Georgia,Peach County,42,11.0,31.0
Georgia,Pickens County,38,13.0,25.0
Georgia,Pierce County,43,21.0,22.0
Georgia,Pike County,23,12.0,11.0
Georgia,Polk County,178,88.0,90.0
Georgia,Pulaski County,21,7.0,14.0
Georgia,Putnam County,67,31.0,36.0
Georgia,Rabun County,83,27.0,56.0
Georgia,Randolph County,7,1.0,6.0
Georgia,Richmond County,286,137.0,149.0
Georgia,Rockdale County,570,278.0,292.0
Georgia,Schley County,2,1.0,1.0
Georgia,Screven County,2,,2.0
Georgia,Seminole County,48,9.0,39.0
Georgia,Spalding County,61,22.0,39.0
Georgia,Stephens County,16,6.0,10.0
Georgia,Stewart County,163,86.0,77.0
Georgia,Sumter County,148,53.0,95.0
Georgia,Talbot County,1,1.0,
Georgia,Taliaferro County,1,,1.0
Georgia,Tattnall County,81,44.0,37.0
Georgia,Taylor County,9,5.0,4.0
Georgia,Telfair County,5914,2559.0,3355.0
Georgia,Terrell County,4,2.0,2.0
Georgia,Thomas County,39,2.0,37.0
Georgia,Tift County,135,12.0,123.0
Georgia,Toombs County,108,47.0,61.0
Georgia,Towns County,17,6.0,11.0
Georgia,Treutlen County,6,2.0,4.0
Georgia,Troup County,165,58.0,107.0
Georgia,Turner County,44,2.0,42.0
Georgia,Twiggs County,49,15.0,34.0
Georgia,Union County,41,11.0,30.0
Georgia,Upson County,15,2.0,13.0
Georgia,Walker County,30,12.0,18.0
Georgia,Walton County,89,33.0,56.0
Georgia,Ware County,68,32.0,36.0
Georgia,Washington County,10,2.0,8.0
Georgia,Wayne County,642,354.0,288.0
Georgia,Wheeler County,17,8.0,9.0
Georgia,White County,16,10.0,6.0
Georgia,Whitfield County,2687,2215.0,472.0
Georgia,Wilcox County,31,12.0,19.0
Georgia,Wilkes County,5,1.0,4.0
Georgia,Wilkinson County,4,2.0,2.0
Georgia,Worth County,6,2.0,4.0
Guam,All,704,288.0,416.0
Guam,Guam,704,288.0,416.0
Hawaii,All,1144,543.0,601.0
Hawaii,Hawaii County,139,73.0,66.0
Hawaii,Honolulu County,808,355.0,453.0
Hawaii,Kauai County,15,6.0,9.0
Hawaii,Maui County,182,109.0,73.0
Idaho,Ada County,1946,976.0,970.0
Idaho,Adams County,13,8.0,5.0
Idaho,All,11030,7791.0,3239.0
Idaho,Bannock County,219,151.0,68.0
Idaho,Bingham County,260,214.0,46.0
Idaho,Blaine County,201,147.0,54.0
Idaho,Bonner County,8,5.0,3.0
Idaho,Bonneville County,877,710.0,167.0
Idaho,Boundary County,2,1.0,1.0
Idaho,Butte County,22,13.0,9.0
Idaho,Camas County,1,1.0,
Idaho,Canyon County,2500,1766.0,734.0
Idaho,Caribou County,19,12.0,7.0
Idaho,Cassia County,910,687.0,223.0
Idaho,Clark County,17,14.0,3.0
Idaho,Custer County,11,8.0,3.0
Idaho,Elmore County,255,163.0,92.0
Idaho,Franklin County,17,10.0,7.0
Idaho,Fremont County,145,105.0,40.0
Idaho,Gem County,33,26.0,7.0
Idaho,Gooding County,424,341.0,83.0
Idaho,Idaho County,3,2.0,1.0
Idaho,Jefferson County,161,133.0,28.0
Idaho,Jerome County,929,741.0,188.0
Idaho,Kootenai County,106,84.0,22.0
Idaho,Latah County,7,5.0,2.0
Idaho,Lemhi County,7,6.0,1.0
Idaho,Madison County,251,203.0,48.0
Idaho,Minidoka County,1,,1.0
Idaho,Nez Perce County,15,14.0,1.0
Idaho,Oneida County,21,12.0,9.0
Idaho,Owyhee County,125,84.0,41.0
Idaho,Payette County,127,94.0,33.0
Idaho,Power County,142,112.0,30.0
Idaho,Shoshone County,4,3.0,1.0
Idaho,Teton County,48,23.0,25.0
Idaho,Twin Falls County,1039,811.0,228.0
Idaho,Valley County,86,56.0,30.0
Idaho,Washington County,78,50.0,28.0
Illinois,Adams County,16,5.0,11.0
Illinois,Alexander County,2,,2.0
Illinois,All,38269,18284.0,19985.0
Illinois,Bond County,181,74.0,107.0
Illinois,Boone County,246,158.0,88.0
Illinois,Brown County,33,11.0,22.0
Illinois,Bureau County,23,6.0,17.0
Illinois,Carroll County,5,1.0,4.0
Illinois,Champaign County,155,60.0,95.0
Illinois,Christian County,32,18.0,14.0
Illinois,Clark County,6,4.0,2.0
Illinois,Clinton County,52,16.0,36.0
Illinois,Coles County,21,13.0,8.0
Illinois,Cook County,11740,3576.0,8164.0
Illinois,Crawford County,44,18.0,26.0
Illinois,Cumberland County,20,12.0,8.0
Illinois,De Witt County,16,5.0,11.0
Illinois,DeKalb County,135,83.0,52.0
Illinois,Decatur County,4,1.0,3.0
Illinois,Douglas County,13,5.0,8.0
Illinois,DuPage County,4864,2746.0,2118.0
Illinois,Effingham County,77,54.0,23.0
Illinois,Fayette County,13,7.0,6.0
Illinois,Ford County,14,6.0,8.0
Illinois,Franklin County,11,5.0,6.0
Illinois,Fulton County,126,63.0,63.0
Illinois,Hancock County,8,1.0,7.0
Illinois,Henderson County,1,,1.0
Illinois,Henry County,50,9.0,41.0
Illinois,Jackson County,1,1.0,
Illinois,Jefferson County,33,16.0,17.0
Illinois,Jersey County,5,3.0,2.0
Illinois,Jo Daviess County,25,4.0,21.0
Illinois,Johnson County,34,14.0,20.0
Illinois,Kane County,3681,2142.0,1539.0
Illinois,Kankakee County,64,17.0,47.0
Illinois,Kendall County,33,14.0,19.0
Illinois,Knox County,51,15.0,36.0
Illinois,La Salle County,31,12.0,19.0
Illinois,Lake County,2902,1497.0,1405.0
Illinois,Lawrence County,23,10.0,13.0
Illinois,Lee County,193,87.0,106.0
Illinois,Livingston County,72,32.0,40.0
Illinois,Logan County,46,27.0,19.0
Illinois,Macon County,110,70.0,40.0
Illinois,Madison County,182,24.0,158.0
Illinois,Marion County,42,26.0,16.0
Illinois,Marshall County,2,,2.0
Illinois,McDonough County,5,3.0,2.0
Illinois,McHenry County,2013,1359.0,654.0
Illinois,McLean County,409,254.0,155.0
Illinois,Mercer County,13,2.0,11.0
Illinois,Monroe County,5,,5.0
Illinois,Montgomery County,65,37.0,28.0
Illinois,Morgan County,43,28.0,15.0
Illinois,Ogle County,146,14.0,132.0
Illinois,Peoria County,90,29.0,61.0
Illinois,Perry County,38,15.0,23.0
Illinois,Piatt County,17,11.0,6.0
Illinois,Porter County,1,1.0,
Illinois,Pulaski County,30,11.0,19.0
Illinois,Putnam County,4,4.0,
Illinois,Randolph County,66,33.0,33.0
Illinois,Rock Island County,436,118.0,318.0
Illinois,Sangamon County,40,20.0,20.0
Illinois,Schuyler County,10,2.0,8.0
Illinois,St. Clair County,312,70.0,242.0
Illinois,Stark County,7,2.0,5.0
Illinois,Stephenson County,64,4.0,60.0
Illinois,Tazewell County,266,112.0,154.0
Illinois,Union County,2,,2.0
Illinois,Vermilion County,101,30.0,71.0
Illinois,Warren County,44,11.0,33.0
Illinois,Washington County,16,4.0,12.0
Illinois,Wayne County,4,,4.0
Illinois,White County,5,,5.0
Illinois,Whiteside County,22,5.0,17.0
Illinois,Will County,7810,4706.0,3104.0
Illinois,Williamson County,204,94.0,110.0
Illinois,Winnebago County,543,337.0,206.0
Indiana,Adams County,12,2.0,10.0
Indiana,All,11984,4689.0,7295.0
Indiana,Allen County,431,188.0,243.0
Indiana,Bartholomew County,517,79.0,438.0
Indiana,Blackford County,4,,4.0
Indiana,Boone County,64,1.0,63.0
Indiana,Cass County,155,59.0,96.0
Indiana,Clark County,165,60.0,105.0
Indiana,Clay County,2,1.0,1.0
Indiana,Clinton County,447,100.0,347.0
Indiana,Daviess County,47,9.0,38.0
Indiana,De Kalb County,10,5.0,5.0
Indiana,Delaware County,30,8.0,22.0
Indiana,Dubois County,99,43.0,56.0
Indiana,Elkhart County,711,279.0,432.0
Indiana,Floyd County,164,81.0,83.0
Indiana,Gibson County,27,3.0,24.0
Indiana,Grant County,43,24.0,19.0
Indiana,Greene County,4,1.0,3.0
Indiana,Hamilton County,204,86.0,118.0
Indiana,Hancock County,67,32.0,35.0
Indiana,Hendricks County,1202,705.0,497.0
Indiana,Henry County,12,2.0,10.0
Indiana,Howard County,18,3.0,15.0
Indiana,Huntington County,8,,8.0
Indiana,Jackson County,170,78.0,92.0
Indiana,Jasper County,16,2.0,14.0
Indiana,Jay County,11,1.0,10.0
Indiana,Johnson County,1081,188.0,893.0
Indiana,Knox County,34,8.0,26.0
