FIPS,countyname,state,clinton,trump,johnson,ind_cand,mcmullin,total_votes,AGI,num_returns,num_dependents,num_tot_inc,tot_inc_amt,people,turnout,fips_countyname_county,State,County,county_name,County_UA_pop,mult_counties,State_init,Statewide_UA_pop
6113,"Yolo, CA",CA,54752,20739,3346,6599,0,82090,5862228.0,86210.0,62540.0,85870.0,5967800.0,148750.0,0.551865546218,Yolo County,California,"Yolo County, California",Yolo County,12000,0,CA,3019000
6083,"Santa Barbara, CA",CA,107142,56365,6748,15371,0,178878,14103417.0,200020.0,156290.0,199460.0,14382756.0,356310.0,0.502029131936,Santa Barbara County,California,"Santa Barbara County, California",Santa Barbara County,43000,0,CA,3019000
6071,"San Bernardino, CA",CA,340833,271240,21050,41910,0,653983,42126284.0,865800.0,786360.0,862640.0,42669130.0,1652160.0,0.395835149138,San Bernardino County,California,"San Bernardino County, California",San Bernardino County,140000,0,CA,3019000
6019,"Fresno, CA",CA,141341,124049,9246,21672,0,287062,19123365.0,384300.0,381000.0,383110.0,19457055.0,765300.0,0.375097347445,Fresno County,California,"Fresno County, California",Fresno County,85000,0,CA,3019000
6077,"San Joaquin, CA",CA,121124,88936,8049,16942,0,227002,15630947.0,293270.0,282130.0,292240.0,15867289.0,575400.0,0.394511644074,San Joaquin County,California,"San Joaquin County, California",San Joaquin County,52000,0,CA,3019000
6065,"Riverside, CA",CA,373695,333243,24089,44453,0,751391,48673710.0,944370.0,843040.0,940710.0,49348830.0,1787410.0,0.420379767373,Riverside County,California,"Riverside County, California",Riverside County,161000,0,CA,3019000
6059,"Orange, CA",CA,609961,507148,46128,80412,0,1197521,117237561.0,1473110.0,1075280.0,1467760.0,119309364.0,2548390.0,0.469912768454,Orange County,California,"Orange County, California",Orange County,270000,0,CA,3019000
6047,"Merced, CA",CA,37317,28725,2410,4747,0,70789,4290848.0,98680.0,109760.0,98360.0,4371171.0,208440.0,0.339613317981,Merced County,California,"Merced County, California",Merced County,26000,0,CA,3019000
6095,"Solano, CA",CA,102360,51920,6254,13870,0,168150,12129092.0,199140.0,141110.0,198420.0,12265898.0,340250.0,0.494195444526,Solano County,California,"Solano County, California",Solano County,21000,0,CA,3019000
8031,"Denver, CO",CO,244551,62690,14861,24611,2110,331852,25366843.0,338820.0,184610.0,337720.0,25837040.0,523430.0,0.633994994555,Denver County,Colorado,"Denver County, Colorado",Denver County,41000,0,CO,163000
8041,"El Paso, CO",CO,108010,179228,19877,31730,4276,318968,17843336.0,304520.0,198260.0,303580.0,18124495.0,502780.0,0.634408687696,El Paso County,Colorado,"El Paso County, Colorado",El Paso County,11000,0,CO,163000
10003,"New Castle, DE",DE,162919,85525,9107,14535,0,262979,18125866.0,264010.0,163040.0,263160.0,18335380.0,427050.0,0.61580377005,New Castle County,Delaware,"New Castle County, Delaware",New Castle County,15000,0,DE,23000
12011,"Broward, FL",FL,553320,260951,11078,23117,0,837388,54947209.0,922370.0,550570.0,917950.0,55736142.0,1472940.0,0.568514671338,Broward County,Florida,"Broward County, Florida",Broward County,84000,0,FL,610000
12021,"Collier, FL",FL,61085,105423,3263,6002,0,172510,21708200.0,173430.0,94720.0,172820.0,22065631.0,268150.0,0.643333954876,Collier County,Florida,"Collier County, Florida",Collier County,22000,0,FL,610000
12057,"Hillsborough, FL",FL,307896,266870,15703,29124,0,603890,36781484.0,618330.0,401610.0,615620.0,37293153.0,1019940.0,0.592083848069,Hillsborough County,Florida,"Hillsborough County, Florida",Hillsborough County,41000,0,FL,610000
12071,"Lee, FL",FL,124908,191551,6982,13303,0,329762,21518049.0,318780.0,167690.0,317410.0,21856681.0,486470.0,0.677867083273,Lee County,Florida,"Lee County, Florida",Lee County,27000,0,FL,610000
12081,"Manatee, FL",FL,71224,101944,4177,7589,0,180757,10504168.0,165040.0,91220.0,164360.0,10664173.0,256260.0,0.705365644268,Manatee County,Florida,"Manatee County, Florida",Manatee County,12000,0,FL,610000
12095,"Orange, FL",FL,329894,195216,14483,26792,0,551902,32106641.0,607460.0,396740.0,604680.0,32562125.0,1004200.0,0.549593706433,Orange County,Florida,"Orange County, Florida",Orange County,47000,0,FL,610000
