,State,State_init,countyname,fips_countyname_county,clinton,trump,total_votes,County,total_detained,ICE_custody,No_ICE_custody,pct_ice,pct_clinton,dem_votes_per_custody,dem_excess_per_custody,test
1992,Colorado,CO,"Denver, CO",Denver County,244551,62690,331852,Denver County,7230,4304.0,2926.0,0.5952973720608575,0.7369279076214698,56.81947026022305,42.25394981412639,0.4386912468053673
1428,California,CA,"Yolo, CA",Yolo County,54752,20739,82090,Yolo County,1539,1012.0,527.0,0.6575698505523067,0.6669752710439761,54.10276679841897,33.609683794466406,0.4385828293024716
6927,Oregon,OR,"Lincoln, OR",Lincoln County,12501,10039,25256,Lincoln County,259,226.0,33.0,0.8725868725868726,0.49497149192271145,55.3141592920354,10.893805309734514,0.43190562615649725
8895,Texas,TX,"Harris, TX",Harris County,707914,545955,1312112,Harris County,57751,46098.0,11653.0,0.7982199442433897,0.5395225407587158,15.35671829580459,3.513362835697861,0.43065765240247406
5305,North Carolina,NC,"Hertford, NC",Hertford County,6910,3099,10186,Hertford County,2237,1420.0,817.0,0.6347787215020116,0.6783820930689182,4.866197183098592,2.6838028169014083,0.4306225177281465
8280,Texas,TX,"Dallas, TX",Dallas County,461080,262945,758973,Dallas County,20929,14792.0,6137.0,0.7067705098189115,0.6075051418166391,31.170903190914007,13.394740400216333,0.4293667187993562
11413,Washington,WA,"Thurston, WA",Thurston County,68798,48624,134191,Thurston County,400,333.0,67.0,0.8325,0.5126871399721292,206.60060060060061,60.58258258258258,0.42681204402679757
11463,Wisconsin,WI,"Door, WI",Door County,8014,8580,17592,Door County,15,14.0,1.0,0.9333333333333333,0.4555479763528877,572.4285714285714,-40.42857142857143,0.42517811126269517
6873,Oregon,OR,"Benton, OR",Benton County,29193,13445,48753,Benton County,72,51.0,21.0,0.7083333333333334,0.5987939203741308,572.4117647058823,308.7843137254902,0.4241456935983427
5820,New Jersey,NJ,"Middlesex, NJ",Middlesex County,193044,122953,328557,Middlesex County,2597,1873.0,724.0,0.7212167886022334,0.5875510185447274,103.06673785371062,37.421783235451144,0.42375165873479953
11087,Virginia,VA,"Brunswick, VA",Brunswick County,4481,3046,7669,Brunswick County,25,18.0,7.0,0.72,0.5843004303038206,248.94444444444446,79.72222222222223,0.42069630981875084
5581,North Carolina,NC,"Washington, NC",Washington County,3510,2564,6165,Washington County,61,45.0,16.0,0.7377049180327869,0.5693430656934306,78.0,21.022222222222222,0.42000717960990785
11531,Wisconsin,WI,"Rock, WI",Rock County,39339,31493,76074,Rock County,259,210.0,49.0,0.8108108108108109,0.5171149144254279,187.32857142857142,37.36190476190476,0.41928236304764427
202,Arizona,AZ,"Coconino, AZ",Coconino County,32404,21108,59784,Coconino County,1033,797.0,236.0,0.771539206195547,0.5420179312190553,40.657465495608534,14.173149309912171,0.41818808439650246
5992,New Mexico,NM,"San Miguel, NM",San Miguel County,7285,2313,10751,San Miguel County,60,37.0,23.0,0.6166666666666667,0.677611384987443,196.8918918918919,134.3783783783784,0.41786035407558986
2139,Colorado,CO,"Broomfield, CO",Broomfield County,19731,14367,37690,Broomfield County,588,469.0,119.0,0.7976190476190477,0.5235075616874503,42.07036247334755,11.437100213219615,0.4175596027745139
1098,California,CA,"Marin, CA",Marin County,108707,21771,140683,Marin County,7255,3910.0,3345.0,0.5389386629910407,0.7727088560806921,27.80230179028133,22.234271099744245,0.41644267777746463
7086,Pennsylvania,PA,"Montgomery, PA",Montgomery County,256082,162731,438652,Montgomery County,1774,1261.0,513.0,0.7108229988726043,0.5837930751484092,203.07850911974623,74.0293417922284,0.41497354439805184
