State,Jurisdiction,All,Yes,No,County,Facility
Michigan,Washtenaw County - Women's Huron Valley C.F.,9,2,7,Washtenaw County,Women's Huron Valley C.F.
Michigan,Oakland County - Farmington Hills Police Dept.,9,3,6,Oakland County,Farmington Hills Police Dept.
Michigan,Antrim County - Antrim County Sheriff/Jail,9,4,5,Antrim County,Antrim County Sheriff/Jail
Michigan,"Roscommon County - Roscommon Co,roscommon,mi",8,7,1,Roscommon County,"Roscommon Co,roscommon,mi"
Michigan,"Wayne County - Trenton City Jail,trenton",8,1,7,Wayne County,"Trenton City Jail,trenton"
Michigan,Wayne County - Redford Police Dept.,8,1,7,Wayne County,Redford Police Dept.
Michigan,Oakland County - Pontiac Corr. Facility,8,4,4,Oakland County,Pontiac Corr. Facility
Michigan,Gratiot County - Central Michigan Corr. Facility,7,5,2,Gratiot County,Central Michigan Corr. Facility
Michigan,Manistee County - Oaks Correctional Facility,7,2,5,Manistee County,Oaks Correctional Facility
Michigan,Mecosta County - Mecosta County Jail,7,6,1,Mecosta County,Mecosta County Jail
Michigan,Wexford County - Wexford County Jail,7,3,4,Wexford County,Wexford County Jail
Michigan,"Charlevoix County - Charlevoix Co, Charlev,mi",7,5,2,Charlevoix County,"Charlevoix Co, Charlev,mi"
Michigan,Wayne County - Van Buren Township Pd,7,2,5,Wayne County,Van Buren Township Pd
Michigan,"Ionia County - Mi Reformatory,ionia,mi",7,,7,Ionia County,"Mi Reformatory,ionia,mi"
Michigan,"Wayne County - Mound Corr Fac,detroit,mi",6,4,2,Wayne County,"Mound Corr Fac,detroit,mi"
Michigan,Ionia County - Bellamy Creek Corr. Facility,6,3,3,Ionia County,Bellamy Creek Corr. Facility
Michigan,Wayne County - Det Pd 4th Prec.,6,1,5,Wayne County,Det Pd 4th Prec.
Michigan,"Jackson County - Jackson St.Pr.,jackson,mi",6,1,5,Jackson County,"Jackson St.Pr.,jackson,mi"
Michigan,Muskegon County - West Shoreline Corr. Fac.,6,3,3,Muskegon County,West Shoreline Corr. Fac.
Michigan,Hillsdale County - Hillsdale County Jail,6,5,1,Hillsdale County,Hillsdale County Jail
Michigan,"Branch County - Lakeland Corr Coldwater,m",6,4,2,Branch County,"Lakeland Corr Coldwater,m"
Michigan,Wayne County - Det Pd 3rd Prec,6,1,5,Wayne County,Det Pd 3rd Prec
Michigan,Iron County - Iron County Sheriff/Jail,5,4,1,Iron County,Iron County Sheriff/Jail
Michigan,"Ionia County - Handlon Mi Training,ionia",5,2,3,Ionia County,"Handlon Mi Training,ionia"
Michigan,"Muskegon County - Brooks Reg Fac,muskeg,mi",5,,5,Muskegon County,"Brooks Reg Fac,muskeg,mi"
Michigan,Wayne County - Plymouth Township Police Dept.,5,3,2,Wayne County,Plymouth Township Police Dept.
Michigan,"Wayne County - Det Receiving Hosp,det,mi",5,2,3,Wayne County,"Det Receiving Hosp,det,mi"
Michigan,Wayne County - Ryan Regional Corr Facili,5,,5,Wayne County,Ryan Regional Corr Facili
Michigan,"Marquette County - Marquette Co,marquette Mi",5,4,1,Marquette County,"Marquette Co,marquette Mi"
Michigan,"Kent County - Gr Rapids Cor Cen, Gr,mi",5,1,4,Kent County,"Gr Rapids Cor Cen, Gr,mi"
Michigan,Wayne County - Wayne County Youtht.Mi,4,1,3,Wayne County,Wayne County Youtht.Mi
Michigan,"Sanilac County - Carson City, Carson, Mi",4,2,2,Sanilac County,"Carson City, Carson, Mi"
Michigan,Monroe County - Monroe County Jail (Main),4,3,1,Monroe County,Monroe County Jail (Main)
Michigan,Gogebic County - Gogebic County Jail,4,1,3,Gogebic County,Gogebic County Jail
Michigan,"Iosco County - Iosco Co., Tawas, Mi.",4,4,,Iosco County,"Iosco Co., Tawas, Mi."
Michigan,Tuscola County - Tuscola County Jail,4,3,1,Tuscola County,Tuscola County Jail
Michigan,Wayne County - Det Pd 12th Prec.,4,1,3,Wayne County,Det Pd 12th Prec.
Michigan,Wayne County - Brownstown Police Dept.,4,4,,Wayne County,Brownstown Police Dept.
Michigan,Wayne County - Detroit Detention Center,3,,3,Wayne County,Detroit Detention Center
Michigan,Wayne County - Det Pd 11th Prec.,3,1,2,Wayne County,Det Pd 11th Prec.
Michigan,"Crawford County - Crawford Co, Grayling,mi.",3,,3,Crawford County,"Crawford Co, Grayling,mi."
Michigan,Saginaw County - Buena Vista Correctional,3,2,1,Saginaw County,Buena Vista Correctional
Michigan,Alger County - Alger County Jail,3,1,2,Alger County,Alger County Jail
Michigan,Jackson County - Cooper Street Corr. Facility,3,2,1,Jackson County,Cooper Street Corr. Facility
Michigan,"Lake County - Lake Co, Baldwin,mi",3,2,1,Lake County,"Lake Co, Baldwin,mi"
Michigan,Ionia County - Richard A Handlon Corr.Fac.,3,,3,Ionia County,Richard A Handlon Corr.Fac.
Michigan,Macomb County - Macomb Correctional Facility,3,2,1,Macomb County,Macomb Correctional Facility
Michigan,"Wayne County - Belleville Pd, Belvil, Mi",3,,3,Wayne County,"Belleville Pd, Belvil, Mi"
Michigan,"Ionia County - Ionia Temp, Ionia,mi",3,2,1,Ionia County,"Ionia Temp, Ionia,mi"
Michigan,Menominee County - Menominee County Jail,3,2,1,Menominee County,Menominee County Jail
Michigan,"Gogebic County - Camp Ojbiway,marenisco,mi",3,,3,Gogebic County,"Camp Ojbiway,marenisco,mi"
Michigan,"Alpena County - Alpena Co, Alpena,mi.",2,1,1,Alpena County,"Alpena Co, Alpena,mi."
Michigan,Alger County - Alger Correctional Facility,2,2,,Alger County,Alger Correctional Facility
Michigan,"Kalkaska County - Kalkaska Co.,kalkaska,mi",2,1,1,Kalkaska County,"Kalkaska Co.,kalkaska,mi"
Michigan,Osceola County - Osceola County Jail,2,2,,Osceola County,Osceola County Jail
Michigan,"Wayne County - Scott Correct.Plymouth,mi",2,,2,Wayne County,"Scott Correct.Plymouth,mi"
Michigan,"Lenawee County - Adrian Temp, Adrian, Mi",2,1,1,Lenawee County,"Adrian Temp, Adrian, Mi"
Michigan,Grand Traverse County - Pugsley Correctional Facil,2,2,,Grand Traverse County,Pugsley Correctional Facil
Michigan,"Kent County - Bethany Christian Services, Grand Ra",2,,2,Kent County,"Bethany Christian Services, Grand Ra"
Michigan,"Dickinson County - Dickinson Co.,iron Mt.,mi",2,1,1,Dickinson County,"Dickinson Co.,iron Mt.,mi"
Michigan,Houghton County - Houghton County Jail,2,1,1,Houghton County,Houghton County Jail
