State,Jurisdiction,All,Yes,No,County,Facility
Virgin Islands,All,197,93,104,All,All
Virgin Islands,Saint Thomas County - St. Thomas Correctional Just,123,73,50,Saint Thomas County,St. Thomas Correctional Just
Virgin Islands,Saint Croix County - St X Golden Grove,67,19,48,Saint Croix County,St X Golden Grove
Virgin Islands,Saint Thomas County - Charlotte Amalie Hold Room,7,1,6,Saint Thomas County,Charlotte Amalie Hold Room
