State,Jurisdiction,All,Yes,No,County,Facility
Colorado,Jefferson County - Lookout Mountain Yth. Svc. Cent,9,6,3,Jefferson County,Lookout Mountain Yth. Svc. Cent
Colorado,La Plata County - Southern Ute Detention Center,9,2,7,La Plata County,Southern Ute Detention Center
Colorado,Cheyenne County - Cheyenne County Jail,8,6,2,Cheyenne County,Cheyenne County Jail
Colorado,Saguache County - Center Police Dept.,8,7,1,Saguache County,Center Police Dept.
Colorado,Adams County - Adams County Juvenile,7,2,5,Adams County,Adams County Juvenile
Colorado,Crowley County - Crowley County Jail,7,6,1,Crowley County,Crowley County Jail
Colorado,Weld County - Platte Valley Youth Services,7,3,4,Weld County,Platte Valley Youth Services
Colorado,Denver County - Monte View Juvenile Facil,5,1,4,Denver County,Monte View Juvenile Facil
Colorado,Adams County - Commerce City - City Jail,4,1,3,Adams County,Commerce City
Colorado,Jefferson County - Mountain View Juv. Det. Center,4,,4,Jefferson County,Mountain View Juv. Det. Center
Colorado,Douglas County - Douglas County Detention Facility,3,3,,Douglas County,Douglas County Detention Facility
Colorado,Arapahoe County - Marvin W. Foote Juvenile,3,,3,Arapahoe County,Marvin W. Foote Juvenile
Colorado,Custer County - Custer County Sheriff Office,3,1,2,Custer County,Custer County Sheriff Office
Colorado,Jackson County - Jackson County Jail,3,2,1,Jackson County,Jackson County Jail
Colorado,Denver County - Regal 8 Inn,3,2,1,Denver County,Regal 8 Inn
Colorado,Pueblo County - Pueblo Youth Center,2,1,1,Pueblo County,Pueblo Youth Center
Colorado,Moffat County - Craig Hold Room,2,2,,Moffat County,Craig Hold Room
Colorado,Rio Grande County - Monte Vista City Jail,2,1,1,Rio Grande County,Monte Vista City Jail
Colorado,La Plata County - Durango Hold Room,2,1,1,La Plata County,Durango Hold Room
Colorado,"Morgan County - High Plains Center, Co",1,,1,Morgan County,"High Plains Center, Co"
Colorado,Arapahoe County - Jefferson Hills,1,1,,Arapahoe County,Jefferson Hills
Colorado,Denver County - Dalhia Street Youth Cente,1,1,,Denver County,Dalhia Street Youth Cente
Colorado,Kiowa County - Kiowa County Jail,1,,1,Kiowa County,Kiowa County Jail
Colorado,Denver County - Dgh Ward 18,1,,1,Denver County,Dgh Ward 18
Colorado,Alamosa County - Comfort Inn,1,,1,Alamosa County,Comfort Inn
Colorado,Fremont County - Pueblo Hold Room,1,,1,Fremont County,Pueblo Hold Room
