State,Jurisdiction,All,Yes,No,County,Facility
District of Columbia,All,983,429,554,All,All
District of Columbia,District of Columbia - DC Department of Correction,835,373,462,District of Columbia,DC Department of Correction
District of Columbia,"District of Columbia - Us Marshals, Dc",147,56,91,District of Columbia,"Us Marshals, Dc"
District of Columbia,District of Columbia - Test Facility,1,,1,District of Columbia,Test Facility
