State,Jurisdiction,All,Yes,No,County,Facility
Minnesota,Mille Lacs County - Mille Lacs County Jail,12,2,10,Mille Lacs County,Mille Lacs County Jail
Minnesota,Fillmore County - Fillmore County Jail,12,8,4,Fillmore County,Fillmore County Jail
Minnesota,Crow Wing County - Crow Wing County Jail,11,8,3,Crow Wing County,Crow Wing County Jail
Minnesota,"Pennington County - Pennington Co. Jail, Mn",10,6,4,Pennington County,"Pennington Co. Jail, Mn"
Minnesota,Beltrami County - Beltrami County Jail,10,8,2,Beltrami County,Beltrami County Jail
Minnesota,"Cook County - Cook Co. Jail, Mn",10,2,8,Cook County,"Cook Co. Jail, Mn"
Minnesota,Roseau County - Roseau County Jail,9,6,3,Roseau County,Roseau County Jail
Minnesota,Swift County - Swift County Jail,8,6,2,Swift County,Swift County Jail
Minnesota,Isanti County - Isanti County Jail,7,3,4,Isanti County,Isanti County Jail
Minnesota,"Carlton County - Carlton County Jail, Mn",7,6,1,Carlton County,"Carlton County Jail, Mn"
Minnesota,Mahnomen County - Mahnomen County Jail,7,4,3,Mahnomen County,Mahnomen County Jail
Minnesota,Itasca County - Itasca County Jail,5,2,3,Itasca County,Itasca County Jail
Minnesota,Hennepin County - Hennepin Co. Medical Cent,5,,5,Hennepin County,Hennepin Co. Medical Cent
Minnesota,Lac qui Parle County - Lac Qui Parle County Jail,4,3,1,Lac qui Parle County,Lac Qui Parle County Jail
Minnesota,Kanabec County - Kanabec County Jail,4,3,1,Kanabec County,Kanabec County Jail
Minnesota,Hubbard County - Hubbard County Jail,4,1,3,Hubbard County,Hubbard County Jail
Minnesota,Carver County - Carver County Juvenile Detention F,3,2,1,Carver County,Carver County Juvenile Detention F
Minnesota,Washington County - Washington Co. Juvenile C,3,3,,Washington County,Washington Co. Juvenile C
Minnesota,Nobles County - Prairie Justice Center,2,2,,Nobles County,Prairie Justice Center
Minnesota,Lake of the Woods County - Lake Of The Woods Count,2,1,1,Lake of the Woods County,Lake Of The Woods Count
Minnesota,Clearwater County - Clearwater County Jail,2,,2,Clearwater County,Clearwater County Jail
Minnesota,Kittson County - Kittson Co. Jail,2,,2,Kittson County,Kittson Co. Jail
Minnesota,Stevens County - Stevens County Jail,2,1,1,Stevens County,Stevens County Jail
Minnesota,St. Louis County - Duluth Fed.Prison Camp,2,1,1,St. Louis County,Duluth Fed.Prison Camp
Minnesota,Anoka County - Anoka County Workhouse,2,,2,Anoka County,Anoka County Workhouse
Minnesota,Becker County - Grant County Jail,1,,1,Becker County,Grant County Jail
Minnesota,Anoka County - Anoka Co. Juvenile Center,1,1,,Anoka County,Anoka Co. Juvenile Center
Minnesota,Pope County - Pope County Jail,1,1,,Pope County,Pope County Jail
Minnesota,Anoka County - East Regional Juv. Center,1,,1,Anoka County,East Regional Juv. Center
Minnesota,Wilkin County - Wilkin County Jail,1,1,,Wilkin County,Wilkin County Jail
