State,Jurisdiction,All,Yes,No,County,Facility
Vermont,All,111,34,77,All,All
Vermont,Washington County - Vermont Department of Correcti,32,13,19,Washington County,Vermont Department of Correcti
Vermont,Chittenden County - U.S. Marshal's - Vermont,27,8,19,Chittenden County,U.S. Marshal's
Vermont,Addison County - Addison County Jail,17,5,12,Addison County,Addison County Jail
Vermont,Franklin County - Northwest State Correctional Cen,15,4,11,Franklin County,Northwest State Correctional Cen
Vermont,Chittenden County - Chittenden Regional. Correctio,15,3,12,Chittenden County,Chittenden Regional. Correctio
Vermont,Orleans County - Vt Dept Of Corr/Northern State Bo,3,1,2,Orleans County,Vt Dept Of Corr/Northern State Bo
Vermont,Orleans County - Orleans County Jail,1,,1,Orleans County,Orleans County Jail
Vermont,"Franklin County - Franklin County Jail, Vt",1,,1,Franklin County,"Franklin County Jail, Vt"
