State,Jurisdiction,All,Yes,No,County,Facility
Missouri,St. Louis City - Stl Comm. Release Center,3,1,2,St. Louis City,Stl Comm. Release Center
Missouri,Greene County - Springfield Police Dept.,3,,3,Greene County,Springfield Police Dept.
Missouri,St. Louis County - Sunset Hills Poilice Dept.,3,1,2,St. Louis County,Sunset Hills Poilice Dept.
Missouri,Grundy County - Grundy County Sheriff/Jail,3,,3,Grundy County,Grundy County Sheriff/Jail
Missouri,Randolph County - Randolph County Sheriff/Jail,3,1,2,Randolph County,Randolph County Sheriff/Jail
Missouri,St. Louis County - Shrewsbury Police Dept.,3,1,2,St. Louis County,Shrewsbury Police Dept.
Missouri,Franklin County - E. Mo Corr. Center,3,,3,Franklin County,E. Mo Corr. Center
Missouri,Reynolds County - Reynolds County Sheriff/Jail,3,,3,Reynolds County,Reynolds County Sheriff/Jail
Missouri,Clay County - Clay County Juvenile,2,,2,Clay County,Clay County Juvenile
Missouri,Washington County - Potosi Corr. Center,2,1,1,Washington County,Potosi Corr. Center
Missouri,Mississippi County - Southeast Corr. Center,2,,2,Mississippi County,Southeast Corr. Center
Missouri,Jasper County - Carl Junction Police Dept.,2,1,1,Jasper County,Carl Junction Police Dept.
Missouri,St. Louis County - Webster Groves Police Dept.,1,,1,St. Louis County,Webster Groves Police Dept.
Missouri,Jackson County - Greenwood Police Dept.,1,1,,Jackson County,Greenwood Police Dept.
Missouri,Benton County - Benton County Sheriff/Jail,1,,1,Benton County,Benton County Sheriff/Jail
Missouri,Webster County - Ozark Correctional Center,1,1,,Webster County,Ozark Correctional Center
Missouri,Newton County - Neosho Police Dept.,1,,1,Newton County,Neosho Police Dept.
Missouri,Wright County - Mountain Grove Police Dept.,1,,1,Wright County,Mountain Grove Police Dept.
Missouri,Cedar County - Cedar County Jail,1,1,,Cedar County,Cedar County Jail
Missouri,Jackson County - Mun. Correct. Institution,1,,1,Jackson County,Mun. Correct. Institution
Missouri,Vernon County - Nevada Police Dept,1,1,,Vernon County,Nevada Police Dept
Missouri,Cole County - Central Mo Corr. Center,1,,1,Cole County,Central Mo Corr. Center
Missouri,Johnson County - Warrensburg Police Dept.,1,,1,Johnson County,Warrensburg Police Dept.
Missouri,Livingston County - Chillicothe Corr. Center,1,,1,Livingston County,Chillicothe Corr. Center
Missouri,Randolph County - Moberly Police Dept.,1,,1,Randolph County,Moberly Police Dept.
