State,Jurisdiction,All,Yes,No,County,Facility
North Carolina,Wayne County - Wayne County Jail,57,22,35,Wayne County,Wayne County Jail
North Carolina,Transylvania County - Transylvania County Jail,57,23,34,Transylvania County,Transylvania County Jail
North Carolina,Person County - Person County Jail,53,25,28,Person County,Person County Jail
North Carolina,Greene County - Greene County Jail,50,20,30,Greene County,Greene County Jail
North Carolina,Stanly County - Stanly County Jail,48,24,24,Stanly County,Stanly County Jail
North Carolina,Martin County - Martin County Jail,44,28,16,Martin County,Martin County Jail
North Carolina,Pasquotank County - Albermarie District Jail,39,21,18,Pasquotank County,Albermarie District Jail
North Carolina,Alexander County - Alexander County Jail,38,20,18,Alexander County,Alexander County Jail
North Carolina,Swain County - Swain County Jail,38,18,20,Swain County,Swain County Jail
North Carolina,Vance County - Vance County Jail,37,11,26,Vance County,Vance County Jail
North Carolina,Craven County - Craven County Jail,33,10,23,Craven County,Craven County Jail
North Carolina,Franklin County - Franklin County Detention Center,30,9,21,Franklin County,Franklin County Detention Center
North Carolina,Cherokee County - Cherokee County Jail,29,15,14,Cherokee County,Cherokee County Jail
North Carolina,Clay County - Clay County Jail,28,13,15,Clay County,Clay County Jail
North Carolina,Wilkes County - Wilkes County Jail,27,13,14,Wilkes County,Wilkes County Jail
North Carolina,Scotland County - Scotland County Jail,27,13,14,Scotland County,Scotland County Jail
North Carolina,Yancey County - Yancey County Jail,25,8,17,Yancey County,Yancey County Jail
North Carolina,Mecklenburg County - Charlotte Hold Room,22,4,18,Mecklenburg County,Charlotte Hold Room
North Carolina,Edgecombe County - Edgecombe County Jail,22,12,10,Edgecombe County,Edgecombe County Jail
North Carolina,Jones County - Jones County Jail,20,9,11,Jones County,Jones County Jail
North Carolina,Caswell County - Caswell County Sheriff,17,2,15,Caswell County,Caswell County Sheriff
North Carolina,Halifax County - Halifax County Jail,13,7,6,Halifax County,Halifax County Jail
North Carolina,Stokes County - Stokes County Jail,12,3,9,Stokes County,Stokes County Jail
North Carolina,Currituck County - Currituck County Jail,11,6,5,Currituck County,Currituck County Jail
North Carolina,Anson County - Anson County Jail,10,4,6,Anson County,Anson County Jail
North Carolina,Madison County - Madison County Jail,9,7,2,Madison County,Madison County Jail
