FIPS,State,County,State_init,county_plus_init,total_detained,ICE_custody,No_ICE_custody,pct_ice,clinton,pct_clinton,trump,johnson,ind_cand,mcmullin,total_votes,turnout,people,tot_inc_amt,inc_per_person
01001,Alabama,Autauga County,AL,"Autauga County, AL",67.0,45.0,22.0,0.6716417910447762,5936.0,0.2376967124494454,18172.0,546.0,865.0,0.0,24973.0,0.5984423676012461,41730.0,1250116.0,29.957248981548048
01003,Alabama,Baldwin County,AL,"Baldwin County, AL",738.0,401.0,337.0,0.5433604336043361,18458.0,0.193856010082445,72883.0,2464.0,3874.0,0.0,95215.0,0.6497099965881952,146550.0,5331680.0,36.3813033094507
01005,Alabama,Barbour County,AL,"Barbour County, AL",11.0,5.0,6.0,0.45454545454545453,4871.0,0.46527844111185407,5454.0,93.0,144.0,0.0,10469.0,0.5951677089255258,17590.0,378961.0,21.544115974985786
01007,Alabama,Bibb County,AL,"Bibb County, AL",14.0,13.0,1.0,0.9285714285714286,1874.0,0.21249574781721284,6738.0,124.0,207.0,0.0,8819.0,0.6158519553072626,14320.0,369326.0,25.790921787709497
01009,Alabama,Blount County,AL,"Blount County, AL",43.0,15.0,28.0,0.3488372093023256,2156.0,0.08425824605283727,22859.0,338.0,573.0,0.0,25588.0,0.661359524424916,38690.0,1043008.0,26.95807702248643
01011,Alabama,Bullock County,AL,"Bullock County, AL",8.0,4.0,4.0,0.5,3530.0,0.7494692144373672,1140.0,22.0,40.0,0.0,4710.0,0.6578212290502793,7160.0,125009.0,17.45935754189944
01013,Alabama,Butler County,AL,"Butler County, AL",22.0,16.0,6.0,0.7272727272727273,3726.0,0.4267063673843335,4901.0,65.0,105.0,0.0,8732.0,0.5888064733648011,14830.0,338255.0,22.80883344571814
01015,Alabama,Calhoun County,AL,"Calhoun County, AL",109.0,31.0,78.0,0.28440366972477066,13242.0,0.2766588667892362,32865.0,1116.0,1757.0,0.0,47864.0,0.5883712354025814,81350.0,2156189.0,26.505089121081745
01017,Alabama,Chambers County,AL,"Chambers County, AL",41.0,33.0,8.0,0.8048780487804879,5784.0,0.41611510791366907,7843.0,168.0,273.0,0.0,13900.0,0.5329754601226994,26080.0,520503.0,19.957937116564416
01019,Alabama,Cherokee County,AL,"Cherokee County, AL",22.0,8.0,14.0,0.36363636363636365,1547.0,0.14413491102208142,8953.0,147.0,233.0,0.0,10733.0,0.7005874673629243,15320.0,389584.0,25.42976501305483
01021,Alabama,Chilton County,AL,"Chilton County, AL",342.0,217.0,125.0,0.6345029239766082,2911.0,0.15847351516141325,15081.0,228.0,377.0,0.0,18369.0,0.5846276257161044,31420.0,772021.0,24.571005728835136
01025,Alabama,Clarke County,AL,"Clarke County, AL",10.0,6.0,4.0,0.6,5749.0,0.4411787276494513,7140.0,99.0,142.0,0.0,13031.0,0.6964724746125067,18710.0,490181.0,26.198877605558526
01027,Alabama,Clay County,AL,"Clay County, AL",12.0,2.0,10.0,0.16666666666666666,1237.0,0.1867451690821256,5245.0,93.0,142.0,0.0,6624.0,0.703931987247609,9410.0,224538.0,23.86163655685441
01029,Alabama,Cleburne County,AL,"Cleburne County, AL",9.0,4.0,5.0,0.4444444444444444,684.0,0.1037463976945245,5764.0,90.0,145.0,0.0,6593.0,0.6527722772277228,10100.0,251240.0,24.875247524752474
01031,Alabama,Coffee County,AL,"Coffee County, AL",186.0,140.0,46.0,0.7526881720430108,4221.0,0.20325516444358838,15875.0,396.0,671.0,0.0,20767.0,0.5711496149614962,36360.0,1121597.0,30.84700220022002
01033,Alabama,Colbert County,AL,"Colbert County, AL",11.0,,11.0,,7312.0,0.2934778246036524,16746.0,511.0,857.0,0.0,24915.0,0.6461358921161826,38560.0,1182566.0,30.66820539419087
01035,Alabama,Conecuh County,AL,"Conecuh County, AL",3.0,3.0,,1.0,3080.0,0.4677296886864085,3420.0,51.0,85.0,0.0,6585.0,0.756896551724138,8700.0,184776.0,21.23862068965517
01037,Alabama,Coosa County,AL,"Coosa County, AL",19.0,15.0,4.0,0.7894736842105263,1782.0,0.3392993145468393,3381.0,53.0,89.0,0.0,5252.0,0.7862275449101797,6680.0,164476.0,24.622155688622755
01039,Alabama,Covington County,AL,"Covington County, AL",22.0,15.0,7.0,0.6818181818181818,2387.0,0.14974905897114177,13267.0,183.0,286.0,0.0,15940.0,0.6320380650277557,25220.0,692398.0,27.4543219666931
01041,Alabama,Crenshaw County,AL,"Crenshaw County, AL",5.0,5.0,,1.0,1664.0,0.2655177916068294,4513.0,65.0,90.0,0.0,6267.0,0.6323915237134208,9910.0,241362.0,24.35539858728557
01043,Alabama,Cullman County,AL,"Cullman County, AL",187.0,82.0,105.0,0.4385026737967914,3798.0,0.10028252316954031,32989.0,687.0,1086.0,0.0,37873.0,0.6712690535271181,56420.0,1597120.0,28.307692307692307
01045,Alabama,Dale County,AL,"Dale County, AL",115.0,65.0,50.0,0.5652173913043478,4413.0,0.23537255320283748,13808.0,350.0,528.0,0.0,18749.0,0.5414091827894889,34630.0,889669.0,25.690701703725093
01047,Alabama,Dallas County,AL,"Dallas County, AL",70.0,41.0,29.0,0.5857142857142857,12836.0,0.6830566198382291,5789.0,96.0,167.0,0.0,18792.0,0.5982808022922637,31410.0,609668.0,19.40999681630054
01049,Alabama,DeKalb County,AL,"DeKalb County, AL",256.0,113.0,143.0,0.44140625,3622.0,0.1402462634554325,21405.0,458.0,799.0,0.0,25826.0,0.5300903119868637,48720.0,1046728.0,21.48456486042693
